Date,Open,High,Low,Close,Volume,QuoteVolume
"11/23/2020, 12:24:00 PM",18447.89000000,18455.00000000,18441.63000000,18451.31000000,32.83051200,605704.23883540
"11/23/2020, 12:25:00 PM",18451.31000000,18455.00000000,18443.00000000,18444.94000000,40.39403800,745141.17260224
"11/23/2020, 12:26:00 PM",18444.94000000,18447.93000000,18428.73000000,18429.72000000,45.50512300,839120.09707756
"11/23/2020, 12:27:00 PM",18429.72000000,18470.00000000,18429.71000000,18470.00000000,157.72393900,2911965.56185017
"11/23/2020, 12:28:00 PM",18470.00000000,18497.00000000,18470.00000000,18493.82000000,92.09154200,1702166.75385318
"11/23/2020, 12:29:00 PM",18493.83000000,18520.00000000,18487.44000000,18520.00000000,216.18494000,4001762.04992243
"11/23/2020, 12:30:00 PM",18519.99000000,18556.83000000,18508.58000000,18510.29000000,184.60917000,3422977.41519460
"11/23/2020, 12:31:00 PM",18510.29000000,18519.44000000,18480.80000000,18495.13000000,87.72831400,1623057.26313411
"11/23/2020, 12:32:00 PM",18495.12000000,18512.62000000,18484.66000000,18505.76000000,50.10851100,927023.18101183
"11/23/2020, 12:33:00 PM",18505.76000000,18512.88000000,18494.71000000,18495.39000000,64.45399000,1192757.33488651
"11/23/2020, 12:34:00 PM",18495.38000000,18509.42000000,18473.65000000,18478.48000000,46.27273200,855509.23705399
"11/23/2020, 12:35:00 PM",18478.12000000,18500.00000000,18478.12000000,18483.25000000,42.42466300,784511.33757225
"11/23/2020, 12:36:00 PM",18483.24000000,18489.75000000,18455.02000000,18480.63000000,66.78782900,1233692.68419521
"11/23/2020, 12:37:00 PM",18480.57000000,18485.99000000,18468.36000000,18470.20000000,75.58269400,1396486.48113685
"11/23/2020, 12:38:00 PM",18470.19000000,18474.09000000,18440.51000000,18440.51000000,53.06365000,979357.65824939
"11/23/2020, 12:39:00 PM",18440.51000000,18481.74000000,18432.01000000,18469.78000000,55.57796600,1025880.88824091
"11/23/2020, 12:40:00 PM",18470.22000000,18497.04000000,18468.92000000,18488.72000000,81.41898800,1504698.99697989
